Region;Del;Kon;Varde_stand
00 Riket;Hållbarhet;Kvinnor;40,3060281945803
00 Riket;Hållbarhet;Män;44,8702105718562
00 Riket;Hållbarhet;Totalt;52,7361625106898
00 Riket;Livskvalitet;Kvinnor;51,7486815637484
00 Riket;Livskvalitet;Män;58,8659761261591
00 Riket;Livskvalitet;Totalt;55,3974994271882
0114 Upplands Väsby;Hållbarhet;Kvinnor;39,4949363949980
0114 Upplands Väsby;Hållbarhet;Män;43,5509162867048
0114 Upplands Väsby;Hållbarhet;Totalt;51,2085074315027
0114 Upplands Väsby;Livskvalitet;Kvinnor;52,0533370033941
0114 Upplands Väsby;Livskvalitet;Män;57,9742060804571
0114 Upplands Väsby;Livskvalitet;Totalt;55,1783773235246
0115 Vallentuna;Hållbarhet;Kvinnor;48,9133905865571
0115 Vallentuna;Hållbarhet;Män;56,0785018965966
0115 Vallentuna;Hållbarhet;Totalt;61,3215137128659
0115 Vallentuna;Livskvalitet;Kvinnor;56,6062538898240
0115 Vallentuna;Livskvalitet;Män;64,3466034096683
0115 Vallentuna;Livskvalitet;Totalt;59,6823687471514
0117 Österåker;Hållbarhet;Kvinnor;47,0239902454485
0117 Österåker;Hållbarhet;Män;55,4050720840123
0117 Österåker;Hållbarhet;Totalt;60,0534156439316
0117 Österåker;Livskvalitet;Kvinnor;59,1370504132203
0117 Österåker;Livskvalitet;Män;63,2058532240320
0117 Österåker;Livskvalitet;Totalt;62,4608979694531
0120 Värmdö;Hållbarhet;Kvinnor;51,3319429359243
0120 Värmdö;Hållbarhet;Män;57,6361810980179
0120 Värmdö;Hållbarhet;Totalt;60,8640420917618
0120 Värmdö;Livskvalitet;Kvinnor;61,9545676206200
0120 Värmdö;Livskvalitet;Män;64,7713228825546
0120 Värmdö;Livskvalitet;Totalt;65,6284212499776
0123 Järfälla;Hållbarhet;Kvinnor;38,3453043303433
0123 Järfälla;Hållbarhet;Män;42,7885919480381
0123 Järfälla;Hållbarhet;Totalt;56,0890331956210
0123 Järfälla;Livskvalitet;Kvinnor;54,1206993392235
0123 Järfälla;Livskvalitet;Män;54,0828861178837
0123 Järfälla;Livskvalitet;Totalt;52,0587692877147
0125 Ekerö;Hållbarhet;Kvinnor;50,9354284495769
0125 Ekerö;Hållbarhet;Män;54,6656358277906
0125 Ekerö;Hållbarhet;Totalt;62,0029047509167
0125 Ekerö;Livskvalitet;Kvinnor;62,3097937877093
0125 Ekerö;Livskvalitet;Män;64,3037711156315
0125 Ekerö;Livskvalitet;Totalt;59,5052984434238
0126 Huddinge;Hållbarhet;Kvinnor;39,7001582626476
0126 Huddinge;Hållbarhet;Män;42,9168274285540
0126 Huddinge;Hållbarhet;Totalt;55,0034414993965
0126 Huddinge;Livskvalitet;Kvinnor;51,1593922032901
0126 Huddinge;Livskvalitet;Män;57,2673003620035
0126 Huddinge;Livskvalitet;Totalt;51,9869433671003
0127 Botkyrka;Hållbarhet;Kvinnor;31,4626760738038
0127 Botkyrka;Hållbarhet;Män;33,6672170742356
0127 Botkyrka;Hållbarhet;Totalt;46,6699417850938
0127 Botkyrka;Livskvalitet;Kvinnor;50,1006141856533
0127 Botkyrka;Livskvalitet;Män;51,8470489149092
0127 Botkyrka;Livskvalitet;Totalt;49,4044760339975
0128 Salem;Hållbarhet;Kvinnor;39,5022403531614
0128 Salem;Hållbarhet;Män;47,0203569832905
0128 Salem;Hållbarhet;Totalt;59,6668284200079
0128 Salem;Livskvalitet;Kvinnor;60,8818349980610
