Region;Del;Kon;Tema;Varde_stand
00 Riket;Hållbarhet;Kvinnor;Ekonomi;20,648322105177208
00 Riket;Hållbarhet;Kvinnor;Social;59,963734283983349
00 Riket;Hållbarhet;Män;Ekonomi;35,700244912251797
00 Riket;Hållbarhet;Män;Social;54,040176231460670
00 Riket;Hållbarhet;Totalt;Ekonomi;28,570532461922941
00 Riket;Hållbarhet;Totalt;Miljö;68,063487071051796
00 Riket;Hållbarhet;Totalt;Social;61,574467999094672
00 Riket;Livskvalitet;Kvinnor;T1;71,462924283299415
00 Riket;Livskvalitet;Kvinnor;T10;58,447561521941381
00 Riket;Livskvalitet;Kvinnor;T11;61,121339919923258
00 Riket;Livskvalitet;Kvinnor;T12;51,002974943767349
00 Riket;Livskvalitet;Kvinnor;T2;36,210203295490757
00 Riket;Livskvalitet;Kvinnor;T3;39,563821650561785
00 Riket;Livskvalitet;Kvinnor;T4;58,656810449829905
00 Riket;Livskvalitet;Kvinnor;T5;32,913011422858084
00 Riket;Livskvalitet;Kvinnor;T6;57,445039082882225
00 Riket;Livskvalitet;Kvinnor;T7;68,663436246449550
00 Riket;Livskvalitet;Kvinnor;T8;28,370805924541067
00 Riket;Livskvalitet;Kvinnor;T9;57,126250023436469
00 Riket;Livskvalitet;Män;T1;62,662311009708503
00 Riket;Livskvalitet;Män;T10;46,870144814786642
00 Riket;Livskvalitet;Män;T11;44,394233318841806
00 Riket;Livskvalitet;Män;T12;58,269146504098629
00 Riket;Livskvalitet;Män;T2;77,601882582537840
00 Riket;Livskvalitet;Män;T3;31,943088905406722
00 Riket;Livskvalitet;Män;T4;56,878071317568988
00 Riket;Livskvalitet;Män;T5;53,832663410933002
00 Riket;Livskvalitet;Män;T6;65,521942408892286
00 Riket;Livskvalitet;Män;T7;64,188132596063582
00 Riket;Livskvalitet;Män;T8;100,473822452009699
00 Riket;Livskvalitet;Män;T9;43,756274193061053
00 Riket;Livskvalitet;Totalt;T1;52,883558254312192
00 Riket;Livskvalitet;Totalt;T10;53,021845821722835
00 Riket;Livskvalitet;Totalt;T11;45,060838435270711
00 Riket;Livskvalitet;Totalt;T12;55,166756838486435
00 Riket;Livskvalitet;Totalt;T2;57,327422864531457
00 Riket;Livskvalitet;Totalt;T3;42,587925471159522
00 Riket;Livskvalitet;Totalt;T4;63,160475299504668
00 Riket;Livskvalitet;Totalt;T5;57,463125775860057
00 Riket;Livskvalitet;Totalt;T6;55,905756350161823
00 Riket;Livskvalitet;Totalt;T7;66,454988904395421
00 Riket;Livskvalitet;Totalt;T8;65,153587933703719
00 Riket;Livskvalitet;Totalt;T9;50,583711177150079
0114 Upplands Väsby;Hållbarhet;Kvinnor;Ekonomi;20,715014818931770
0114 Upplands Väsby;Hållbarhet;Kvinnor;Social;58,274857971064179
0114 Upplands Väsby;Hållbarhet;Män;Ekonomi;32,345544411312503
0114 Upplands Väsby;Hållbarhet;Män;Social;54,756288162097071
0114 Upplands Väsby;Hållbarhet;Totalt;Ekonomi;26,765311999792498
0114 Upplands Väsby;Hållbarhet;Totalt;Miljö;71,332886231632585
0114 Upplands Väsby;Hållbarhet;Totalt;Social;55,527324063083071
0114 Upplands Väsby;Livskvalitet;Kvinnor;T1;49,944382647385979
0114 Upplands Väsby;Livskvalitet;Kvinnor;T10;66,919320689329084
0114 Upplands Väsby;Livskvalitet;Kvinnor;T11;58,593149954179992
0114 Upplands Väsby;Livskvalitet;Kvinnor;T12;48,460705549391193
0114 Upplands Väsby;Livskvalitet;Kvinnor;T2;18,989848152665466
0114 Upplands Väsby;Livskvalitet;Kvinnor;T3;52,389878163074023
0114 Upplands Väsby;Livskvalitet;Kvinnor;T4;96,833130328867242
0114 Upplands Väsby;Livskvalitet;Kvinnor;T5;30,799667590339929
0114 Upplands Väsby;Livskvalitet;Kvinnor;T6;49,586695958762860
0114 Upplands Väsby;Livskvalitet;Kvinnor;T7;55,839558707900551
0114 Upplands Väsby;Livskvalitet;Kvinnor;T8;26,333655726447407
0114 Upplands Väsby;Livskvalitet;Kvinnor;T9;69,950050572385024
0114 Upplands Väsby;Livskvalitet;Män;T1;33,259176863181310
0114 Upplands Väsby;Livskvalitet;Män;T10;58,031614845298265
0114 Upplands Väsby;Livskvalitet;Män;T11;35,101981183047997
0114 Upplands Väsby;Livskvalitet;Män;T12;54,493316301616531
0114 Upplands Väsby;Livskvalitet;Män;T2;65,521314241375478
0114 Upplands Väsby;Livskvalitet;Män;T3;34,301780693533310
0114 Upplands Väsby;Livskvalitet;Män;T4;96,345919610231419
0114 Upplands Väsby;Livskvalitet;Män;T5;53,334951414967449
0114 Upplands Väsby;Livskvalitet;Män;T6;58,705078638742648
0114 Upplands Väsby;Livskvalitet;Män;T7;51,205665555149935
0114 Upplands Väsby;Livskvalitet;Män;T8;103,209276908231502
0114 Upplands Väsby;Livskvalitet;Män;T9;52,180396710108951
0114 Upplands Väsby;Livskvalitet;Totalt;T1;30,612336384035650
0114 Upplands Väsby;Livskvalitet;Totalt;T10;62,390005962758565
0114 Upplands Väsby;Livskvalitet;Totalt;T11;32,986762659822766
0114 Upplands Väsby;Livskvalitet;Totalt;T12;67,501606183671413
0114 Upplands Väsby;Livskvalitet;Totalt;T2;37,673846276841182
0114 Upplands Väsby;Livskvalitet;Totalt;T3;56,987955326460479
0114 Upplands Väsby;Livskvalitet;Totalt;T4;91,079701504283491
0114 Upplands Väsby;Livskvalitet;Totalt;T5;50,533877057928180
0114 Upplands Väsby;Livskvalitet;Totalt;T6;50,276576655294271
0114 Upplands Väsby;Livskvalitet;Totalt;T7;53,528537453713383
0114 Upplands Väsby;Livskvalitet;Totalt;T8;65,079260847934691
0114 Upplands Väsby;Livskvalitet;Totalt;T9;63,490061569551138
0115 Vallentuna;Hållbarhet;Kvinnor;Ekonomi;36,273899988418968
0115 Vallentuna;Hållbarhet;Kvinnor;Social;61,552881184695259
0115 Vallentuna;Hållbarhet;Män;Ekonomi;48,532145258662723
0115 Vallentuna;Hållbarhet;Män;Social;63,624858534530532
0115 Vallentuna;Hållbarhet;Totalt;Ekonomi;42,599279414374351
0115 Vallentuna;Hållbarhet;Totalt;Miljö;69,856672529180130
0115 Vallentuna;Hållbarhet;Totalt;Social;71,508589195043143
0115 Vallentuna;Livskvalitet;Kvinnor;T1;83,314794215795331
0115 Vallentuna;Livskvalitet;Kvinnor;T10;80,657861684740155
0115 Vallentuna;Livskvalitet;Kvinnor;T11;61,331386846589673
0115 Vallentuna;Livskvalitet;Kvinnor;T12;48,460705549391193
0115 Vallentuna;Livskvalitet;Kvinnor;T2;29,866557833202897
0115 Vallentuna;Livskvalitet;Kvinnor;T3;52,389878163074023
0115 Vallentuna;Livskvalitet;Kvinnor;T4;77,588306942752737
0115 Vallentuna;Livskvalitet;Kvinnor;T5;40,886890625508272
0115 Vallentuna;Livskvalitet;Kvinnor;T6;63,383982352598238
0115 Vallentuna;Livskvalitet;Kvinnor;T7;80,326463894291365
