Region;Del;Kon;Varde_stand
00 Riket;Hållbarhet;Kvinnor;30,4069722058805
00 Riket;Hållbarhet;Män;57,4974865466979
00 Riket;Hållbarhet;Totalt;47,9381553896484
00 Riket;Livskvalitet;Kvinnor;45,7587640522619
00 Riket;Livskvalitet;Män;55,8939129765746
00 Riket;Livskvalitet;Totalt;51,2264190261754
01 Stockholms län;Hållbarhet;Kvinnor;63,3012669398803
01 Stockholms län;Hållbarhet;Män;97,4638764430280
01 Stockholms län;Hållbarhet;Totalt;71,5813804912898
01 Stockholms län;Livskvalitet;Kvinnor;58,4829759393136
01 Stockholms län;Livskvalitet;Män;58,8917767648008
01 Stockholms län;Livskvalitet;Totalt;56,6844882637809
03 Uppsala län;Hållbarhet;Kvinnor;44,4215313474036
03 Uppsala län;Hållbarhet;Män;62,5183561115422
03 Uppsala län;Hållbarhet;Totalt;59,2447781218469
03 Uppsala län;Livskvalitet;Kvinnor;47,6219351468699
03 Uppsala län;Livskvalitet;Män;56,1918893710942
03 Uppsala län;Livskvalitet;Totalt;51,2520488633332
04 Södermanlands län;Hållbarhet;Kvinnor;20,0349505532093
04 Södermanlands län;Hållbarhet;Män;49,3460146270829
04 Södermanlands län;Hållbarhet;Totalt;38,6931629318610
04 Södermanlands län;Livskvalitet;Kvinnor;25,1481738647973
04 Södermanlands län;Livskvalitet;Män;43,5588216174551
04 Södermanlands län;Livskvalitet;Totalt;32,7634776639872
05 Östergötlands län;Hållbarhet;Kvinnor;25,2023539882574
05 Östergötlands län;Hållbarhet;Män;59,2352515512173
05 Östergötlands län;Hållbarhet;Totalt;57,5631653988331
05 Östergötlands län;Livskvalitet;Kvinnor;49,1079873966364
05 Östergötlands län;Livskvalitet;Män;55,7658842071204
05 Östergötlands län;Livskvalitet;Totalt;51,8631243124653
06 Jönköpings län;Hållbarhet;Kvinnor;28,9128774113061
06 Jönköpings län;Hållbarhet;Män;58,8110792276897
06 Jönköpings län;Hållbarhet;Totalt;47,7519704603301
06 Jönköpings län;Livskvalitet;Kvinnor;47,6356921867098
06 Jönköpings län;Livskvalitet;Män;63,4404287943268
06 Jönköpings län;Livskvalitet;Totalt;55,8544834636825
07 Kronobergs län;Hållbarhet;Kvinnor;31,6388163029813
07 Kronobergs län;Hållbarhet;Män;55,2400783489130
07 Kronobergs län;Hållbarhet;Totalt;51,9517168998428
07 Kronobergs län;Livskvalitet;Kvinnor;35,5753621179633
07 Kronobergs län;Livskvalitet;Män;53,9293569026506
07 Kronobergs län;Livskvalitet;Totalt;46,3781441878249
08 Kalmar län;Hållbarhet;Kvinnor;22,9731683246960
08 Kalmar län;Hållbarhet;Män;60,7773005857915
08 Kalmar län;Hållbarhet;Totalt;41,0443058805476
08 Kalmar län;Livskvalitet;Kvinnor;46,8937925548335
08 Kalmar län;Livskvalitet;Män;52,2989508072586
08 Kalmar län;Livskvalitet;Totalt;49,9854299248615
09 Gotlands län;Hållbarhet;Kvinnor;28,7833192570726
09 Gotlands län;Hållbarhet;Män;45,5516182363146
09 Gotlands län;Hållbarhet;Totalt;38,1381451490594
09 Gotlands län;Livskvalitet;Kvinnor;57,7109850158511
09 Gotlands län;Livskvalitet;Män;59,2531341500929
09 Gotlands län;Livskvalitet;Totalt;61,4324558410411
10 Blekinge län;Hållbarhet;Kvinnor;20,7063894666878
10 Blekinge län;Hållbarhet;Män;46,1302923282416
10 Blekinge län;Hållbarhet;Totalt;46,1905079156248
10 Blekinge län;Livskvalitet;Kvinnor;46,4817903400517
10 Blekinge län;Livskvalitet;Män;54,0247656265369
10 Blekinge län;Livskvalitet;Totalt;49,3079222600353
12 Skåne län;Hållbarhet;Kvinnor;24,3970214085891
