Region;Del;Kon;Tema;Varde_stand
00 Riket;Hållbarhet;Kvinnor;Ekonomi;1,1457677768813153
00 Riket;Hållbarhet;Kvinnor;Social;59,6681766348797140
00 Riket;Hållbarhet;Män;Ekonomi;70,4863378654112580
00 Riket;Hållbarhet;Män;Social;44,5086352279846196
00 Riket;Hållbarhet;Totalt;Ekonomi;29,5044222037429904
00 Riket;Hållbarhet;Totalt;Miljö;58,0344192942465753
00 Riket;Hållbarhet;Totalt;Social;56,2756246709555157
00 Riket;Livskvalitet;Kvinnor;T1;87,6984126984126959
00 Riket;Livskvalitet;Kvinnor;T10;89,0924024971752999
00 Riket;Livskvalitet;Kvinnor;T11;75,1993507877082124
00 Riket;Livskvalitet;Kvinnor;T12;36,7282035512124452
00 Riket;Livskvalitet;Kvinnor;T2;-20,7117255504352258
00 Riket;Livskvalitet;Kvinnor;T3;58,3638583638583697
00 Riket;Livskvalitet;Kvinnor;T4;40,6370656370656320
00 Riket;Livskvalitet;Kvinnor;T5;13,0604822001592442
00 Riket;Livskvalitet;Kvinnor;T6;56,7279638823873782
00 Riket;Livskvalitet;Kvinnor;T7;62,2069632020259462
00 Riket;Livskvalitet;Kvinnor;T8;-14,2341062186261240
00 Riket;Livskvalitet;Kvinnor;T9;64,3362975761989304
00 Riket;Livskvalitet;Män;T1;32,8571428571428541
00 Riket;Livskvalitet;Män;T10;31,9378383524298854
00 Riket;Livskvalitet;Män;T11;12,6418386767874775
00 Riket;Livskvalitet;Män;T12;61,8389369141582108
00 Riket;Livskvalitet;Män;T2;122,4270353302611340
00 Riket;Livskvalitet;Män;T3;61,2942612942612968
00 Riket;Livskvalitet;Män;T4;35,4890604890604919
00 Riket;Livskvalitet;Män;T5;66,6016988671884747
00 Riket;Livskvalitet;Män;T6;54,8375066263029751
00 Riket;Livskvalitet;Män;T7;46,9769207992159821
00 Riket;Livskvalitet;Män;T8;115,0909811108052594
00 Riket;Livskvalitet;Män;T9;28,7337344012816658
00 Riket;Livskvalitet;Totalt;T1;56,0975853628508005
00 Riket;Livskvalitet;Totalt;T10;59,5314117020619875
00 Riket;Livskvalitet;Totalt;T11;43,3774787346754920
00 Riket;Livskvalitet;Totalt;T12;49,4169599435086724
00 Riket;Livskvalitet;Totalt;T2;52,0225294418842736
00 Riket;Livskvalitet;Totalt;T3;54,8459915415972787
00 Riket;Livskvalitet;Totalt;T4;49,4045742433529611
00 Riket;Livskvalitet;Totalt;T5;49,5333997967482773
00 Riket;Livskvalitet;Totalt;T6;47,6114081289199547
00 Riket;Livskvalitet;Totalt;T7;54,6349254453409188
00 Riket;Livskvalitet;Totalt;T8;50,7609708738430854
00 Riket;Livskvalitet;Totalt;T9;47,4797930993207586
01 Stockholms län;Hållbarhet;Kvinnor;Ekonomi;57,4222566046260141
01 Stockholms län;Hållbarhet;Kvinnor;Social;69,1802772751346566
01 Stockholms län;Hållbarhet;Män;Ekonomi;133,8459992136788514
01 Stockholms län;Hållbarhet;Män;Social;61,0817536723772037
01 Stockholms län;Hållbarhet;Totalt;Ekonomi;83,4467062894922265
01 Stockholms län;Hållbarhet;Totalt;Miljö;78,4283636161382844
01 Stockholms län;Hållbarhet;Totalt;Social;52,8690715682389794
01 Stockholms län;Livskvalitet;Kvinnor;T1;36,6666666666666643
01 Stockholms län;Livskvalitet;Kvinnor;T10;127,4228168537166397
01 Stockholms län;Livskvalitet;Kvinnor;T11;87,1724760730368189
01 Stockholms län;Livskvalitet;Kvinnor;T12;53,0097464721358449
01 Stockholms län;Livskvalitet;Kvinnor;T2;-31,1827956989247141
01 Stockholms län;Livskvalitet;Kvinnor;T3;102,5641025641025834
01 Stockholms län;Livskvalitet;Kvinnor;T4;101,0135135135135158
01 Stockholms län;Livskvalitet;Kvinnor;T5;35,6662622998164593
01 Stockholms län;Livskvalitet;Kvinnor;T6;43,8913051930476428
01 Stockholms län;Livskvalitet;Kvinnor;T7;32,0995235195297539
01 Stockholms län;Livskvalitet;Kvinnor;T8;13,0683710561643540
01 Stockholms län;Livskvalitet;Kvinnor;T9;100,4037227589571160
01 Stockholms län;Livskvalitet;Män;T1;-36,6666666666666643
01 Stockholms län;Livskvalitet;Män;T10;64,2779606409121840
01 Stockholms län;Livskvalitet;Män;T11;-7,8644272409739466
01 Stockholms län;Livskvalitet;Män;T12;66,3894403252811571
01 Stockholms län;Livskvalitet;Män;T2;116,6666666666666572
01 Stockholms län;Livskvalitet;Män;T3;79,4871794871794890
01 Stockholms län;Livskvalitet;Män;T4;98,6486486486486314
01 Stockholms län;Livskvalitet;Män;T5;87,8426819089847157
01 Stockholms län;Livskvalitet;Män;T6;35,8809932976765609
01 Stockholms län;Livskvalitet;Män;T7;18,5094189608777064
01 Stockholms län;Livskvalitet;Män;T8;118,1829698632824091
01 Stockholms län;Livskvalitet;Män;T9;65,3464552857412428
01 Stockholms län;Livskvalitet;Totalt;T1;9,0277777791666658
01 Stockholms län;Livskvalitet;Totalt;T10;95,3549753227331394
01 Stockholms län;Livskvalitet;Totalt;T11;38,8774010145737918
01 Stockholms län;Livskvalitet;Totalt;T12;59,1995933987085294
01 Stockholms län;Livskvalitet;Totalt;T2;43,5483870967741993
01 Stockholms län;Livskvalitet;Totalt;T3;70,0373248457350286
01 Stockholms län;Livskvalitet;Totalt;T4;100,0000000000000000
01 Stockholms län;Livskvalitet;Totalt;T5;47,2447839046199718
01 Stockholms län;Livskvalitet;Totalt;T6;42,0528591607849478
01 Stockholms län;Livskvalitet;Totalt;T7;25,3455266685973832
01 Stockholms län;Livskvalitet;Totalt;T8;65,3861950171944102
01 Stockholms län;Livskvalitet;Totalt;T9;84,1390349564827602
03 Uppsala län;Hållbarhet;Kvinnor;Ekonomi;3,1089013631833975
03 Uppsala län;Hållbarhet;Kvinnor;Social;85,7341613316237527
03 Uppsala län;Hållbarhet;Män;Ekonomi;68,4746491303454690
03 Uppsala län;Hållbarhet;Män;Social;56,5620630927388461
03 Uppsala län;Hållbarhet;Totalt;Ekonomi;40,5618131824342356
03 Uppsala län;Hållbarhet;Totalt;Miljö;69,5325101640620318
03 Uppsala län;Hållbarhet;Totalt;Social;67,6400110190443797
03 Uppsala län;Livskvalitet;Kvinnor;T1;110,0000000000000000
03 Uppsala län;Livskvalitet;Kvinnor;T10;120,4961842210226877
03 Uppsala län;Livskvalitet;Kvinnor;T11;84,3492584058967054
03 Uppsala län;Livskvalitet;Kvinnor;T12;34,3756876345372930
03 Uppsala län;Livskvalitet;Kvinnor;T2;-47,8494623655913855
03 Uppsala län;Livskvalitet;Kvinnor;T3;30,7692307692307772
03 Uppsala län;Livskvalitet;Kvinnor;T4;64,5270270270270458
03 Uppsala län;Livskvalitet;Kvinnor;T5;17,5191076923243045
03 Uppsala län;Livskvalitet;Kvinnor;T6;48,5035124954486179
